Date,Close,Volume
1/29/2016,126,852900
1/28/2016,123,537100
1/27/2016,126,595000
1/26/2016,123,463200
1/25/2016,126,368100
1/22/2016,124,594700
1/21/2016,116,947900
1/20/2016,120,651100
1/19/2016,126,581700
1/18/2016,124,549100
1/15/2016,125,364600
1/14/2016,125,752800
1/13/2016,128,398500
1/12/2016,126,763400
1/8/2016,129,556000
1/7/2016,131,584000
1/6/2016,130,424800
1/5/2016,131,348900
1/4/2016,130,683300
12/30/2015,133,418900
12/29/2015,133,287200
12/28/2015,131,300900
12/25/2015,127,896400
12/24/2015,127,673800
12/22/2015,131,427100
12/21/2015,132,573600
12/18/2015,135,384500
12/17/2015,136,407800
12/16/2015,135,367200
12/15/2015,132,593000
12/14/2015,133,1087700
12/11/2015,134,504000
12/10/2015,133,706600
12/9/2015,135,463300
12/8/2015,138,357200
12/7/2015,137,336200
12/4/2015,137,630000
12/3/2015,137,361800
12/2/2015,139,547200
12/1/2015,139,461600
11/30/2015,138,460500
11/27/2015,140,216800
11/26/2015,140,342200
11/25/2015,139,540900
11/24/2015,142,989200
11/20/2015,138,467000
11/19/2015,136,351200
11/18/2015,136,207100
11/17/2015,136,411800
11/16/2015,135,452300
11/13/2015,137,569300
11/12/2015,138,753700
11/11/2015,140,530800
11/10/2015,139,738200
11/9/2015,140,527800
11/6/2015,140,857300
11/5/2015,138,687600
11/4/2015,138,675300
11/2/2015,140,775500
10/30/2015,143,516000
10/29/2015,144,976400
10/28/2015,144,590500
10/27/2015,146,380100
10/26/2015,147,979700
10/23/2015,145,643400
10/22/2015,145,1291300
10/21/2015,144,749900
10/20/2015,142,515700
10/19/2015,144,1070400
10/16/2015,141,451000
10/15/2015,141,694100
10/14/2015,139,861200
10/13/2015,143,745700
10/9/2015,145,683600
10/8/2015,143,723200
10/7/2015,145,1672500
10/6/2015,151,4832600
10/5/2015,153,6079700
10/2/2015,141,1624300
10/1/2015,142,604500
9/30/2015,143,992100
9/29/2015,139,1057700
9/28/2015,148,1050300
9/25/2015,143,828000
9/24/2015,144,1411000
9/18/2015,141,1837100
9/17/2015,143,1592200
9/16/2015,137,972100
9/15/2015,137,1049400
